image_id,qr_index,x0,y0,x1,y1,x2,y2,x3,y3,content
2656508531_jpg.rf.e3471da597bbb5c678c7b81a9444a45a,0,68,75,166,75,166,154,68,154,http://www.sneakyparties.com.au
2879826877_jpg.rf.e5a0a919ca06cd38041277acc8078c7c,0,308,414,406,414,406,530,308,530,
2879826877_jpg.rf.e5a0a919ca06cd38041277acc8078c7c,1,96,303,188,303,188,415,96,415,
IMG_20220601_162857_jpg.rf.e37733db42ffb9cfe2084c2b7e0e0859,,,,,,,,,,
1932429740_jpg.rf.e6a7bf47534a5bac958e9fa0bfbac030,0,296,207,362,207,362,274,296,274,
glareimage012_jpg.rf.ef40b6d1d694679efbbdd5dbdc2050b4,0,272,361,352,361,352,437,272,437,
4_jpg.rf.ea7bb9bcb849a248b176040568902d1c,,,,,,,,,,
2963262766_jpg.rf.e8429960e4f10a86b74c7976796d3a69,,,,,,,,,,
2566618981_jpg.rf.eaa911b50263633865aeceec80f1186a,0,316,351,452,351,452,458,316,458,http://qyouare.com/about
2686038510_jpg.rf.e1a2b8871ca7abaf5b98783b8f691fa6,0,370,424,456,424,456,494,370,494,https://wap.ladbrokes.com
4528956445_jpg.rf.ea901d7683b238bd820f68c12502a7cb,0,242,32,323,32,323,134,242,134,
4286729304_jpg.rf.ef718eae4d45201d5c779a8d471ed20f,0,408,262,488,262,488,364,408,364,
2908131194_jpg.rf.ecab4063e54ecd9be7b09b3910ba574d,0,213,303,403,303,403,453,213,453,http://brunnerdigital.com/interact08
blurredimage030_jpg.rf.e5cf7057a6c5f1983a7ded7ab0a7ee95,0,379,338,498,338,498,441,379,441,
2686139452_jpg.rf.e2f1958b1febbb9f78b1603f49a2af47,0,7,475,91,475,91,577,7,577,
brightnessimage023_jpg.rf.e7c7a64e440c247584fa0c14af6acefa,0,148,256,325,256,325,392,148,392,
brightnessimage023_jpg.rf.e7c7a64e440c247584fa0c14af6acefa,1,404,369,506,369,506,451,404,451,
brightnessimage023_jpg.rf.e7c7a64e440c247584fa0c14af6acefa,2,455,265,535,265,535,332,455,332,Version 1 QR
5241281672_jpg.rf.ee1b15753a5c459f127e227698a177f8,0,51,469,193,469,193,576,51,576,
glareimage017_jpg.rf.ed771eb7a086b3de49fff17bb70ea2f1,,,,,,,,,,
high_versionimage018_jpg.rf.eed99bfbd2b397d7ec0f652ba6828f54,0,44,62,579,62,579,578,44,578,
curvedimage049_jpg.rf.ec8ecfdecbc33b3f51fec80ce2c41922,0,38,128,570,128,570,551,38,551,
4956470281_jpg.rf.ed0cbb1c0b8fcf8de7c8e6d9044d3097,0,4,423,74,423,74,500,4,500,
1134131119_jpg.rf.ed5baa9448306c95940068ba1c6069ad,0,412,221,571,221,571,374,412,374,
glareimage040_jpg.rf.ef11e7f0f75db08bb7d3ac5723cf1c6d,0,102,102,546,102,546,540,102,540,
brightnessimage014_jpg.rf.e355ea0ce26036d0cc224f5831ae86a3,,,,,,,,,,
4917222006_jpg.rf.ece6925763291c22ac63961d200e1a70,,,,,,,,,,
0494045485_jpg.rf.e6c1fe8917c8f2db08674e958eae35ed,0,203,232,457,232,457,553,203,553,
blurredimage005_jpg.rf.f19ad89862a8d291f95743c86218a29f,0,376,228,465,228,465,301,376,301,
blurredimage005_jpg.rf.f19ad89862a8d291f95743c86218a29f,1,317,339,429,339,429,430,317,430,
IMG_20220604_164253_jpg.rf.f1df64ce9b47f73b90813425c9b11648,,,,,,,,,,
5117982907_jpg.rf.f20b8ecca85b7d1818958394431c066e,0,330,250,444,250,444,396,330,396,
2716844652_jpg.rf.f4446bc4e4b6e33a285b11f92d1c40bf,0,268,352,321,352,321,405,268,405,
high_versionimage019_jpg.rf.f735f77fc33613b55767e7d1559331b5,0,38,57,596,57,596,573,38,573,
5117983633_jpg.rf.f46461108709752cc20389c0604103d0,0,443,387,486,387,486,440,443,440,
rotationsimage004_jpg.rf.f55e736ffc3e1b6e2a25e7acba43e067,0,117,327,390,327,390,534,117,534,
